x,y,title,tokens,word,poem_title,author,period,link
0.016562106,0.017553523,"farewell. cease, cease, ye murd '**ring** winds, to move a wave; but if with","farewell . cease , cease , ye mu ##rd ' ring winds , to move a wave ; but if with",ring,"Glide soft, ye Silver Floods",William Browne,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/william-browne/glide-soft-ye-silver-floods-36472
0.016640672,0.029291522,"with the horror of the sight, she turns her **head**, and wings her flight; and trembling vows,","with the horror of the sight , she turns her head , and wings her flight ; and trembling vows ,",head,The Lady's Looking-Glass,Matthew Prior,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/matthew-prior/ladys-looking-glass-2995
0.019203294,0.019253366,"; when the big lip, and wat 'ry **eye** tell me, the rising storm is nigh:","; when the big lip , and wat ' ry eye tell me , the rising storm is ni ##gh :",eye,The Lady's Looking-Glass,Matthew Prior,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/matthew-prior/ladys-looking-glass-2995
0.021125615,-0.011272186,"this powerful might, with insufficiency my **heart** to sway? to make me give the lie to","this powerful might , with ins ##uf ##fi ##ciency my heart to sway ? to make me give the lie to",heart,The Sonnets CL - O! from what power hast thou this powerful might,William Shakespeare,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/william-shakespeare/sonnets-cl-o-from-what-power-hast-thou-this-powerful-might-8302
0.020605236,-0.020969968,"out them, to keep a poor, yet loving **heart**. say too, she would have this; she","out them , to keep a poor , yet loving heart . say too , she would have this ; she",heart,The Tear Sent To Her From Staines,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/tear-sent-to-her-from-staines-18679
0.019582607,0.015924131,"cruel fair; she cast not back a pitying **eye**; but left her lover in despair, to sigh","cruel fair ; she cast not back a pity ##ing eye ; but left her lover in despair , to sigh",eye,"A Song To A Fair Young Lady, Going Out Of Town In The Spring",John Dryden,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/john-dryden/song-to-a-fair-young-lady-going-out-of-town-in-the-spring-14658
0.020195343,-0.0068063517,"; since naked sense can conquer reason armed; since **heart**, in chilling fear, with ice is warmed;","; since naked sense can conquer reason armed ; since heart , in chilling fear , with ice is warmed ;",heart,Sonnets,Philip Sidney (Sir),16th-17th Centuries (Early Modern),http://public-domain-poetry.com/sir-philip-sidney/sonnets-31826
0.018044911,0.017631248,"a flood of tears; and whilst my hart and **eye** enuy each others praise, my dying lookes","a flood of tears ; and whilst my hart and eye en ##uy each others praise , my dying look ##es",eye,Amour 33,Michael Drayton,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/michael-drayton/amour-33-14470
0.017187009,0.02962591,"lear'd his eyes: besides, his **head** is bald next, his wild ears, like leather","##lea ##r ' d his eyes : besides , his head is bald next , his wild ears , like leather",head,Upon Blanch,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/upon-blanch-19329
0.017255723,0.028809913,"spread, flutter to fly, and bear away his **head**. give unto all, lest he, whom thou","spread , flutter to fly , and bear away his head . give unto all , lest he , whom thou",head,Alms,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/alms-19649
0.020283062,-0.016555045,". how false, how hollow she's in **heart**: and how she is her own least part:",". how false , how hollow she ' s in heart : and how she is her own least part :",heart,Not To Love,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/not-to-love-18752
0.021020113,-0.019826625,"i am glad, yea glad withall my **heart**, that thus so cleanly, i my self","i am glad , ye ##a glad with ##all my heart , that thus so clean ##ly , i my self",heart,Sonnet 61,Michael Drayton,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/michael-drayton/sonnet-61-14543
0.021252444,-0.012120557,"god lying once asleep, laid by his side his **heart**-inflaming brand, whilst many ny","god lying once asleep , laid by his side his heart - in ##fl ##ami ##ng brand , whilst many ny",heart,The Sonnets CLIV - The little Love-god lying once asleep,William Shakespeare,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/william-shakespeare/sonnets-cliv-the-little-love-god-lying-once-asleep-8306
0.02091718,-0.013756002,", at the least, so long as brain and **heart** have faculty by nature to subsist; till",", at the least , so long as brain and heart have faculty by nature to sub ##sis ##t ; till",heart,"The Sonnets CXXII - Thy gift, thy tables, are within my brain",William Shakespeare,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/william-shakespeare/sonnets-cxxii-thy-gift-thy-tables-are-within-my-brain-8274
0.0212421,-0.012696169,since thou hast been so slack to wound her **heart** whose eyes have wounded me and suffered her to glory,since thou has ##t been so slack to wound her heart whose eyes have wounded me and suffered her to glory,heart,Sonnets: Idea XXXVI Cupid Conjured,Michael Drayton,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/michael-drayton/sonnets-idea-xxxvi-cupid-conjured-14409
0.020846507,-0.009937701,"under pity's fair disguise, will thy melting **heart** surprise. nets of passion's finest thread,","under pity ' s fair disguise , will thy melting heart surprise . nets of passion ' s finest thread ,",heart,Song - Good Counsel To A Young Maid,Thomas Carew,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/thomas-carew/song-good-counsel-to-a-young-maid-12100
0.018357152,0.027958097,"for dread, and sullen clouds bound up his **head**. no; lay thy stately terrors by","for dread , and sul ##len clouds bound up his head . no ; lay thy state ##ly terror ##s by",head,To God,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/to-god-19734
0.019172728,0.013531564,"sigh shall ever wound my breast; love from mine **eye** a tear shall never wring; nor in ""","sigh shall ever wound my breast ; love from mine eye a tear shall never wr ##ing ; nor in """,eye,To The Reader Of These Sonnets,Michael Drayton,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/michael-drayton/to-the-reader-of-these-sonnets-14373
0.020983877,-0.014229252,"hath thee in his mouth, not in his **heart**: he who asks alms in that so sacred","hat ##h thee in his mouth , not in his heart : he who asks al ##ms in that so sacred",heart,His Petition,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/his-petition-19693
0.020631881,-0.016075188,"and left her father reconciled: never but with a **heart** like heavy lead could i have watched her go,","and left her father reconciled : never but with a heart like heavy lead could i have watched her go ,",heart,Lament IV,Jan Kochanowski,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/jan-kochanowski/lament-iv-21872
0.020856192,-0.020816809,", without such grievous sorrow in my **heart**, of which earth holdeth not the counterpart.",", without such gr ##ie ##vo ##us sorrow in my heart , of which earth hold ##eth not the counterpart .",heart,Lament IV,Jan Kochanowski,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/jan-kochanowski/lament-iv-21872
0.017454475,0.02866247,"if hairs be wires, black wires grow on her **head**. i have seen roses damask'd,","if hairs be wires , black wires grow on her head . i have seen roses dam ##ask ' d ,",head,The Sonnets CXXX - My mistress' eyes are nothing like the sun,William Shakespeare,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/william-shakespeare/sonnets-cxxx-my-mistress-eyes-are-nothing-like-the-sun-8282
0.019228166,0.025878511,"orient when the gracious light lifts up his burning **head**, each under eye doth homage to his new","orient when the gr ##acious light lifts up his burning head , each under eye dot ##h homage to his new",head,The Sonnets VII - Lo! in the orient when the gracious light,William Shakespeare,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/william-shakespeare/sonnets-vii-lo-in-the-orient-when-the-gracious-light-8159
0.018234089,0.02024318,"acious light lifts up his burning head, each under **eye** doth homage to his new-appearing sight,","##acious light lifts up his burning head , each under eye dot ##h homage to his new - appearing sight ,",eye,The Sonnets VII - Lo! in the orient when the gracious light,William Shakespeare,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/william-shakespeare/sonnets-vii-lo-in-the-orient-when-the-gracious-light-8159
0.016842747,0.017182717,"shalt see, give a wave-off '**ring** unto thee. glasco had none, but","sha ##lt see , give a wave - off ' ring unto thee . g ##las ##co had none , but",ring,Upon Glasco. Epig,Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/upon-glasco-epig-19333
0.01803535,0.023160897,"my slow life! bend deeper on me, threatening **head**, proud by my downfall, remembering, pitying","my slow life ! bend deeper on me , threatening head , proud by my downfall , remembering , pity ##ing",head,A Prayer,Ben Jonson,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/ben-jonson/prayer-2474
0.018485876,0.017876266,"as far as i through art or nature cast my **eye**, this axiom clearly i discern, that","as far as i through art or nature cast my eye , this ax ##iom clearly i disc ##ern , that",eye,"Alma; or, The Progress of the Mind. In Three Cantos. - Canto III",Matthew Prior,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/matthew-prior/alma-or-the-progress-of-the-mind-in-three-cantos-canto-iii-2887
0.017775176,0.022333385,"none but brings his stick of cinnamon, his eager **eye** or smoother smile, and lays it gently on","none but brings his stick of cinnamon , his eager eye or smooth ##er smile , and lays it gently on",eye,"A Carol Presented To Dr. Williams, Bishop Of Lincoln As A New-Year's Gift",Robert Herrick,16th-17th Centuries (Early Modern),http://public-domain-poetry.com/robert-herrick/carol-presented-to-dr-williams-bishop-of-lincoln-as-a-new-years-gift-19684
